date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,soil_moisture_pct,evaporation_mm,previous_flow_m3s,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,flow_lag_1,flow_lag_2,flow_lag_3,runoff_m3s
2010-01-01,11.59,30.09,48.47,1023.76,11.13,45.0,10.4,65.0,11.59,11.59,11.59,65.0,65.0,65.0,65.0
2010-01-02,4.81,28.47,51.9,1008.47,7.27,38.22,8.82,65.0,11.59,11.59,11.59,65.0,65.0,65.0,57.62
2010-01-03,0.0,30.41,49.77,1016.21,12.42,31.09,9.18,57.62,4.81,11.59,11.59,57.62,65.0,65.0,56.37
2010-01-04,15.13,32.57,52.58,1017.62,7.93,27.68,7.62,56.37,0.0,4.81,11.59,56.37,57.62,65.0,49.18
2010-01-05,0.0,28.14,54.97,1017.88,12.62,22.11,7.33,49.18,15.13,0.0,4.81,49.18,56.37,57.62,48.06
2010-01-06,0.0,28.11,62.39,1018.68,9.04,16.91,7.74,48.06,0.0,15.13,0.0,48.06,49.18,56.37,39.51
2010-01-07,0.0,32.6,54.34,1020.81,3.98,10.12,8.06,39.51,0.0,0.0,15.13,39.51,48.06,49.18,40.28
2010-01-08,0.0,30.54,45.56,1017.55,6.56,8.0,9.96,40.28,0.0,0.0,0.0,40.28,39.51,48.06,36.3
2010-01-09,0.0,27.4,64.71,1015.86,8.49,8.0,7.78,36.3,0.0,0.0,0.0,36.3,40.28,39.51,28.63
2010-01-10,0.0,29.89,50.94,1015.63,14.79,8.0,9.37,28.63,0.0,0.0,0.0,28.63,36.3,40.28,22.81
2010-01-11,0.0,27.33,56.46,1014.58,13.15,8.0,8.97,22.81,0.0,0.0,0.0,22.81,28.63,36.3,19.55
2010-01-12,0.0,27.28,60.08,1021.54,15.68,8.0,9.22,19.55,0.0,0.0,0.0,19.55,22.81,28.63,19.2
2010-01-13,34.85,29.0,58.43,1014.34,15.79,8.0,10.69,19.2,0.0,0.0,0.0,19.2,19.55,22.81,32.31
2010-01-14,13.4,23.56,64.78,1021.77,8.13,8.0,8.55,32.31,34.85,0.0,0.0,32.31,19.2,19.55,40.98
2010-01-15,0.0,23.98,60.56,1017.59,9.34,8.0,7.74,40.98,13.4,34.85,0.0,40.98,32.31,19.2,40.45
2010-01-16,0.0,26.84,51.27,1014.85,8.56,8.0,7.48,40.45,0.0,13.4,34.85,40.45,40.98,32.31,36.01
2010-01-17,0.0,25.65,72.65,1020.51,7.65,8.0,7.16,36.01,0.0,0.0,13.4,36.01,40.45,40.98,36.32
2010-01-18,0.0,28.91,58.85,1013.74,3.55,8.0,7.45,36.32,0.0,0.0,0.0,36.32,36.01,40.45,39.02
2010-01-19,0.0,25.8,56.56,1020.53,9.95,8.0,7.48,39.02,0.0,0.0,0.0,39.02,36.32,36.01,38.12
2010-01-20,0.0,24.48,64.45,1018.36,5.5,8.0,7.92,38.12,0.0,0.0,0.0,38.12,39.02,36.32,30.2
2010-01-21,39.99,31.61,59.55,1014.27,9.88,8.0,8.12,30.2,0.0,0.0,0.0,30.2,38.12,39.02,47.72
2010-01-22,0.0,27.32,60.71,1019.84,17.41,8.0,10.56,47.72,39.99,0.0,0.0,47.72,30.2,38.12,48.6
2010-01-23,0.0,27.98,75.48,1019.89,8.22,8.0,8.49,48.6,0.0,39.99,0.0,48.6,47.72,30.2,47.28
2010-01-24,0.0,24.19,56.22,1022.89,10.68,8.0,6.94,47.28,0.0,0.0,39.99,47.28,48.6,47.72,37.19
